Compound No.,SMILES,5-HT2A Ki (nM),5-HT2A Gq Emax (%),5-HT2A Gq EC50 (nM),5-HT2A β-Arr Emax (%),5-HT2A β-Arr EC50 (nM)
13,Cc1ccnc2[nH]cc(C3=CCCN(C)C3)c12,63.5,68.7,105.8,38.9,764.7
14,O(C)c1ccnc2[nH]cc(C3=CCCN(C)C3)c12,43.0,67.1,72.7,32.2,74.1
17,Cc1cccc2[nH]cc(C3=CCCNC3)c12,11.5,85.7,22.0,42.0,147.4
18,O(C)c1cccc2[nH]cc(C3=CCCNC3)c12,50.5,96.1,3.9,51.8,71.2
20,O(C)c1cccc2[nH]cc(C3=CCCN(C)C3)c12,60.0,91.0,3.0,47.7,61.8
21,c1(-c2cccc3[nH]cc(C4=CCCNC4)c23)ccccc1,14.0,59.6,874.3,15.1,358.4
22,Clc1ccc2[nH]cc(C3=CCCNC3)c2c1,44.3,102.5,7.2,77.3,78.4
23,CC(C)c1ccc2[nH]cc(C3=CCCNC3)c2c1,98.6,58.8,65.7,31.4,734.9
78,Fc1ccc2c(C3=CCCNC3)n[nH]c2c1,57.6,79.4,11.5,59.4,115.3
83,O(C)c1cccc2[nH]nc(C3=CCCNC3)c12,78.8,81.7,12.5,75.9,108.6
84,Clc1ccc2[nH]nc(C3=CCCNC3)c2c1,25.3,94.8,3.4,97.0,52.4
85,Fc1ccc2[nH]nc(C3=CCCNC3)c2c1,33.4,88.3,2.8,96.0,68.6
95,CN1CCC=C(c2n[nH]c3cc(F)ccc23)C1,47.3,47.1,21.1,27.0,466.8
128,CN1CCC=C(c2c[nH]c3c(Cl)c(F)ccc23)C1,15.3,89.2,11.9,56.5,66.1
130,CN1CCC=C(c2n[nH]c3c(Cl)cc(F)cc23)C1,19.5,91.4,12.9,88.5,165.2
131,Fc1ccc(Cl)c2[nH]nc(C3=CCCNC3)c12,47.5,106.3,7.2,72.7,17.4
132,CN1CCC=C(c2n[nH]c3c(Cl)ccc(F)c23)C1,84.6,95.4,24.0,50.9,93.0
142,C1=C(c2c[nH]c3cnccc23)CNCC1,152.3,N.D.,N.D.,N.D.,N.D.
