No.,SMILES,P-PRAS40SW48(E545K)EC50 (µM),P-PRAS40SW48(H1047R)EC50 (µM),P-PRAS40SW48(parental)EC50 (µM),Fold Selectivity forSW48(E545K) vs.SW48(parental),Fold Selectivity forSW48(H1047R) vs.SW48(parental)
101,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,0.0027,0.003,0.0063,2.4 (p<0.001),2.1 (p=0.002)
102,C[C@@H]1COC(=O)N1c1cn2c(n1)-c1ccc(N[C@H](C(N)=O)C3CCC3)cc1OCC2,0.0335,0.0358,0.0849,2.5 (p=0.002),2.4 (p=0.001)
103,NC(=O)[C@@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C1CC1,0.0041,0.0038,0.0101,2.5 (p<0.001),2.6 (p<0.001)
104,C[C@@H]1COC(=O)N1c1cn2c(n1)-c1ccc(N[C@H](C(N)=O)C3CC3)cc1OCC2,0.02,0.0228,0.0618,3.1 (p=0.007),2.7 (p=0.009)
105,NC(=O)[C@@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3CF)nc1-2)C1CC1,0.0042,0.0048,0.0125,3.0 (p=0.007),2.6 (p=0.007)
106,C[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3CF)nc1-2)C(N)=O,0.0045,0.0044,0.0115,2.5 (p=0.003),2.6 (p=0.001)
107,CC[C@H](Nc1ccc2c(c1)OCCn1cc(N3C(=O)OC[C@H]3C(F)F)nc1-2)C(N)=O,0.0053,0.0052,0.0108,2.0 (p=0.003),2.1 (p=0.003)
196 taselisib GDC-0032,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,0.0034,0.004,0.0079,2.3 (p<0.001),2.0 (p<0.001)
pictilisib GDC-0941,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,0.0284,0.0321,0.0315,1.1 (p=0.7),1.0 (p=0.9)
436 GDC-0326,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(O[C@@H](C)C(N)=O)cc1OCC2,0.0095,0.0092,0.0128,1.3 (p=0.26),1.4 (p=0.22)
529,C[C@H](Nc1ccc2c(c1)OCCn1cc(-c3ncnn3CC(F)(F)F)nc1-2)C(N)=O,0.0008,0.0009,0.0016,2.2 (p<0.001),2.0 (p=0.002)
549 (separated stereoisomer 1),CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(OC(C(N)=O)C3CC3)cc1OCC2,0.0105*,0.0147*,0.0119*,1.1,0.8
