No.,SMILES,Structure,IUPAC_Name,USP7 Ub-RhopreInc (IC50) µmol,USP7 Ub-Rho110 Fluor (IC50) µmol
43,CCc1c(-c2ccc(O)cc2)cnc(NC)c1-c1ccc(O)cc1,[mol],4-[4-ethyl-5-(4-hydroxyphenyl)-6-(methylamino)-3-pyridyl]phenol,6.8,
44,CCc1c(-c2ccc(Cl)c(C)c2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-5-(4-chloro-3-methylphenyl)-4-ethyl-3-pyridyl]phenol,>20,
45,CCc1c(-c2ccc(C(N)=O)cc2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]benzamide,2.6,
46,CCc1c(-c2cccc(C(N)=O)c2)cnc(N)c1-c1ccc(O)cc1,[mol],3-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]benzamide,114,
47,CCc1c(-c2cccc(C(C)C)c2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-4-ethyl-5-(3-isopropylphenyl)-3-pyridyl]phenol,>20,
48,CCc1c(-c2ccc(F)c(F)c2)cnc(N)c1-c1ccc(O)cc1,[mol],"4-[2-amino-5-(3,4-difluorophenyl)-4-ethyl-3-pyridyl]phenol",11.6,
49,CCc1c(-c2cccc(C#N)c2)cnc(N)c1-c1ccc(O)cc1,[mol],3-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]benzonitrile,5.4,
50,CCc1c(-c2ccccc2F)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-4-ethyl-5-(2-fluorophenyl)-3-pyridyl]phenol,14.2,
51,CCc1c(-c2ccc(C#N)cc2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]benzonitrile,44.2,
52,CCc1c(-c2cccc(OC)c2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-4-ethyl-5-(3-methoxyphenyl)-3-pyridyl]phenol,50.1,
53,CCc1c(-c2ccc(OC)cc2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-4-ethyl-5-(4-methoxyphenyl)-3-pyridyl]phenol,>20,
54,CCc1c(-c2cccc(C(=O)N(C)C)c2)cnc(N)c1-c1ccc(O)cc1,[mol],"3-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]-N,N-dimethyl-benzamide",161,
55,CCc1c(-c2ccc(CO)cc2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-4-ethyl-5-[4-(hydroxymethyl)phenyl]-3-pyridyl]phenol,>20,
56,CCc1c(-c2ccc(C(=O)N(C)C)cc2)cnc(N)c1-c1ccc(O)cc1,[mol],"4-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]-N,N-dimethyl-benzamide",75.6+,
57,CCc1c(-c2cccc(C)c2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-4-ethyl-5-(m-tolyl)-3-pyridyl]phenol,>20,
58,CCc1c(-c2ccc(=O)[nH]c2)cnc(N)c1-c1ccc(O)cc1,[mol],5-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]-1H-pyridin-2-one,93.3,
59,CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc2[nH]nc(C)c2c1,[mol],4-[6-amino-4-ethyl-5-(3-methyl-1H-indazol-5-yl)-3-pyridyl]phenol,19.3,
60,CCc1c(-c2ccc(C(=O)N3CCOCC3)cc2)cnc(N)c1-c1ccc(O)cc1,[mol],[4-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]phenyl]-morpholino-methanone,167,
61,CCc1c(-c2cccc(OCc3ccccc3)c2)cnc(N)c1-c1ccc(O)cc1,[mol],4-[2-amino-5-(3-benzylxyphenyl)-4-ethyl-3-pyridyl]phenol,63.3++,
62,CCc1c(-c2ccc(C#N)nc2)cnc(N)c1-c1ccc(O)cc1,[mol],5-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]pyridine-2-carbonitrile,39.2,
63,CCc1c(-c2cncc(C#N)c2)cnc(N)c1-c1ccc(O)cc1,[mol],5-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]pyridine-3-carbonitrile,11.7,
64,CCc1c(-c2cccc(C(=O)N3CCCC3)c2)cnc(N)c1-c1ccc(O)cc1,[mol],[3-[6-amino-4-ethyl-5-(4-hydroxyphenyl)-3-pyridyl]phenyl]-pyrrolidin-1-yl-methanone,>63.3,
